,Game,Platform,Gener,Publisher,North_America,Europe,Japan,Rest_of _World,Global,Good_Sale,Count_Games
11254,X-Men: The Official Game,PS2,Action,Activision,0.71,0.23,0.0,0.07,1.0,0,401
11255,X-Plane 10 Global,PC,Simulation,Aerosoft,0.0,0.02,0.0,0.0,0.02,0,3
11256,X2: Wolverine's Revenge,PS2,Platform,Activision,0.69,0.35,0.0,0.09,1.17,0,401
11257,X3: Terran Conflict,PC,Simulation,Deep Silver,0.0,0.02,0.0,0.0,0.03,0,69
11258,X3: Terran War Pack,PC,Misc,Deep Silver,0.0,0.02,0.0,0.0,0.02,0,69
11259,XBLAZE Code: Embryo,PS3,Adventure,Arc System Works,0.03,0.0,0.02,0.01,0.07,0,21
11260,XCOM 2,PC,Strategy,Take-Two Interactive,0.15,0.22,0.0,0.04,0.42000000000000004,0,194
11261,XCOM: Enemy Unknown,PC,Strategy,Take-Two Interactive,0.87,0.8,0.0,0.23,1.9,0,194
11262,XGIII: Extreme G Racing,PS2,Racing,Acclaim Entertainment,0.25,0.13,0.0,0.03,0.42000000000000004,0,114
11263,XGRA: Extreme G Racing Association,PS2,Racing,Acclaim Entertainment,0.07,0.02,0.0,0.01,0.1,0,114
11264,XGRA: Extreme G-Racing Association,PS2,Racing,Eidos Interactive,0.3,0.24,0.0,0.08,0.62,0,121
11265,XI Coliseum,PSP,Puzzle,Sony Computer Entertainment,0.0,0.0,0.01,0.0,0.01,0,617
11266,XIII,PS2,Shooter,Ubisoft,0.51,0.32,0.0,0.08,0.9099999999999999,0,564
11267,XS Airboat Racing,PS,Racing,XS Games,0.13,0.09,0.0,0.02,0.24,0,8
11268,XXX,GBA,Action,Activision,0.08,0.03,0.0,0.0,0.11,0,401
11269,Xblaze: Lost Memories,PS3,Adventure,Arc System Works,0.03,0.0,0.0,0.0,0.03,0,21
11270,Xbox Live Arcade Unplugged Volume 1,X360,Misc,Microsoft Game Studios,0.05,0.01,0.0,0.01,0.07,0,178
11271,Xbox Music Mixer,XB,Misc,Microsoft Game Studios,0.26,0.08,0.0,0.01,0.35,0,178
11272,Xena: Warrior Princess,PS,Adventure,Electronic Arts,0.33,0.23,0.0,0.04,0.6,0,598
11273,Xena: Warrior Princess - The Talisman of Fate,N64,Fighting,Titus,0.23,0.06,0.0,0.0,0.29,1,18
11274,Xenoblade Chronicles,Wii,Role-Playing,Nintendo,0.7,0.39,0.28,0.11000000000000001,1.4700000000000002,0,665
11275,Xenoblade Chronicles X,WiiU,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84,0,665
11276,Xenogears,PS,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46,2,46
11277,Xenosaga Episode I: Der Wille zur Macht,PS2,Role-Playing,Namco Bandai Games,0.63,0.49,0.45,0.17,1.74,0,765
11278,Xenosaga Episode II: Jenseits von Gut und Böse,PS2,Role-Playing,Sony Computer Entertainment,0.28,0.22,0.0,0.07,0.58,0,617
11279,Xenosaga Episode III: Also sprach Zarathustra,PS2,Role-Playing,Namco Bandai Games,0.09,0.07,0.18,0.02,0.37,0,765
11280,Xenosaga I·II,DS,Role-Playing,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,0,765
11281,Xevious,NES,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52,0,765
11282,Xevious 3D/G+,PS,Shooter,Sony Computer Entertainment,0.01,0.01,0.11,0.01,0.14,0,617
11283,Xiaolin Showdown,PSP,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.0,0.11,0,637
11284,Yager,XB,Shooter,THQ,0.03,0.01,0.0,0.0,0.05,0,394
11285,Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PSV,Adventure,5pb,0.0,0.0,0.02,0.0,0.02,0,47
11286,Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,Adventure,5pb,0.0,0.0,0.03,0.0,0.03,0,47
11287,Yaiba: Ninja Gaiden Z,PS3,Action,Tecmo Koei,0.08,0.04,0.0,0.02,0.14,0,249
11288,Yakuman,GB,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28,0,665
11289,Yakuza,PS2,Action,Sega,0.03,0.02,0.85,0.01,0.91,0,469
11290,Yakuza 2,PS2,Adventure,Sega,0.05,0.04,0.84,0.16,1.09,0,469
11291,Yakuza 3,PS3,Action,Sega,0.21,0.2,0.62,0.08,1.12,0,469
11292,Yakuza 4,PS3,Action,Sega,0.15,0.13,0.63,0.05,0.95,0,469
11293,Yakuza 5,PS3,Action,Sega,0.0,0.0,0.59,0.0,0.59,0,469
11294,Yakuza Kiwami,PS4,Adventure,Sega,0.0,0.0,0.28,0.0,0.28,0,469
11295,Yakuza Zero: The Place of Oath,PS3,Action,Sega,0.0,0.0,0.42000000000000004,0.0,0.42000000000000004,0,469
11296,Yakuza: Dead Souls,PS3,Shooter,Sega,0.09,0.06,0.42,0.03,0.6,0,469
11297,Yakuza: Ishin,PS3,Action,Sega,0.0,0.0,0.41000000000000003,0.0,0.41000000000000003,0,469
11298,Yamaha Supercross,DS,Racing,Zoo Digital Publishing,0.15000000000000002,0.01,0.0,0.02,0.18,0,73
11299,Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B,DS,Misc,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,0,765
11300,Yamakawa Shuppansha Kanshuu: Shousetsu Sekaishi B,DS,Misc,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,0,765
